# {tags[idx]},{tags[tidx]}
6.1931e+01,-5.2107e+02
6.2112e+01,-5.2258e+02
6.2293e+01,-5.2409e+02
6.2473e+01,-5.2561e+02
6.2654e+01,-5.2712e+02
6.2835e+01,-5.2863e+02
6.3015e+01,-5.3015e+02
6.3196e+01,-5.3166e+02
6.3377e+01,-5.3317e+02
6.3557e+01,-5.3469e+02
6.3738e+01,-5.3620e+02
6.3919e+01,-5.3771e+02
6.4099e+01,-5.3923e+02
6.4280e+01,-5.4074e+02
6.4461e+01,-5.4225e+02
6.4641e+01,-5.4377e+02
6.4822e+01,-5.4528e+02
6.5003e+01,-5.4679e+02
6.5183e+01,-5.4831e+02
6.5364e+01,-5.4982e+02
6.5544e+01,-5.5133e+02
6.5725e+01,-5.5285e+02
6.5906e+01,-5.5436e+02
6.6086e+01,-5.5588e+02
6.6267e+01,-5.5739e+02
6.6448e+01,-5.5890e+02
6.6628e+01,-5.6042e+02
6.6809e+01,-5.6193e+02
6.6990e+01,-5.6344e+02
6.7170e+01,-5.6496e+02
6.7351e+01,-5.6647e+02
6.7532e+01,-5.6488e+02
6.7712e+01,-5.6038e+02
6.7893e+01,-5.5588e+02
6.8074e+01,-5.5139e+02
6.8254e+01,-5.4689e+02
6.8435e+01,-5.4239e+02
6.8616e+01,-5.3789e+02
6.8796e+01,-5.3340e+02
6.8977e+01,-5.2890e+02
6.9157e+01,-5.2440e+02
6.9338e+01,-5.1990e+02
6.9519e+01,-5.1541e+02
6.9699e+01,-5.1091e+02
6.9880e+01,-5.0641e+02
7.0061e+01,-5.0191e+02
7.0241e+01,-4.9742e+02
7.0422e+01,-4.9292e+02
7.0603e+01,-4.8842e+02
7.0783e+01,-4.8392e+02
7.0964e+01,-4.7943e+02
7.1145e+01,-4.7493e+02
7.1325e+01,-4.7043e+02
7.1506e+01,-4.6593e+02
7.1687e+01,-4.6144e+02
7.1867e+01,-4.5694e+02
7.2048e+01,-4.5244e+02
7.2229e+01,-4.4794e+02
7.2409e+01,-4.4345e+02
7.2590e+01,-4.3895e+02
7.2770e+01,-4.3445e+02
7.2951e+01,-4.2995e+02
7.3132e+01,-4.2546e+02
7.3312e+01,-4.2096e+02
7.3493e+01,-4.1646e+02
7.3674e+01,-4.1196e+02
7.3854e+01,-4.0747e+02
7.4035e+01,-4.0297e+02
7.4216e+01,-3.9847e+02
7.4396e+01,-3.9397e+02
7.4577e+01,-3.8948e+02
7.4758e+01,-3.8498e+02
7.4938e+01,-3.8048e+02
7.5119e+01,-3.7598e+02
7.5300e+01,-3.7329e+02
7.5480e+01,-3.7151e+02
7.5661e+01,-3.6972e+02
7.5842e+01,-3.6794e+02
7.6022e+01,-3.6616e+02
7.6203e+01,-3.6437e+02
7.6383e+01,-3.6438e+02
7.6564e+01,-3.6527e+02
7.6745e+01,-3.6617e+02
7.6925e+01,-3.6706e+02
7.7106e+01,-3.6796e+02
7.7287e+01,-3.6886e+02
7.7467e+01,-3.6975e+02
7.7648e+01,-3.7065e+02
7.7829e+01,-3.7154e+02
7.8009e+01,-3.7244e+02
7.8190e+01,-3.7333e+02
7.8371e+01,-3.7423e+02
7.8551e+01,-3.7513e+02
7.8732e+01,-3.7602e+02
7.8913e+01,-3.7692e+02
7.9093e+01,-3.7781e+02
7.9274e+01,-3.7871e+02
7.9455e+01,-3.7960e+02
7.9635e+01,-3.8050e+02
7.9816e+01,-3.8139e+02
7.9996e+01,-3.8229e+02
8.0177e+01,-3.8319e+02
8.0358e+01,-3.8408e+02
8.0538e+01,-3.8498e+02
8.0719e+01,-3.8587e+02
8.0900e+01,-3.8677e+02
8.1080e+01,-3.8766e+02
8.1261e+01,-3.8856e+02
8.1442e+01,-3.8946e+02
8.1622e+01,-3.9035e+02
8.1803e+01,-3.9125e+02
8.1984e+01,-3.9214e+02
8.2164e+01,-3.9304e+02
8.2345e+01,-3.9393e+02
8.2526e+01,-3.9483e+02
8.2706e+01,-3.9572e+02
8.2887e+01,-3.9662e+02
8.3068e+01,-3.9752e+02
8.3248e+01,-3.9841e+02
8.3429e+01,-3.9931e+02
8.3609e+01,-4.0020e+02
8.3790e+01,-4.0110e+02
8.3971e+01,-4.0199e+02
8.4151e+01,-4.0289e+02
8.4332e+01,-4.0378e+02
8.4513e+01,-4.0468e+02
8.4693e+01,-4.0558e+02
8.4874e+01,-4.0647e+02
8.5055e+01,-4.0737e+02
8.5235e+01,-4.0826e+02
8.5416e+01,-4.0916e+02
8.5597e+01,-4.1005e+02
8.5777e+01,-4.1095e+02
8.5958e+01,-4.1185e+02
8.6139e+01,-4.1274e+02
8.6319e+01,-4.1364e+02
8.6500e+01,-4.1453e+02
8.6681e+01,-4.1543e+02
8.6861e+01,-4.1632e+02
8.7042e+01,-4.1722e+02
8.7222e+01,-4.1811e+02
8.7403e+01,-4.1901e+02
8.7584e+01,-4.1991e+02
8.7764e+01,-4.2080e+02
8.7945e+01,-4.2170e+02
8.8126e+01,-4.2259e+02
8.8306e+01,-4.2349e+02
8.8487e+01,-4.2438e+02
8.8668e+01,-4.2528e+02
8.8848e+01,-4.2618e+02
8.9029e+01,-4.2707e+02
8.9210e+01,-4.2797e+02
8.9390e+01,-4.2886e+02
8.9571e+01,-4.2976e+02
8.9752e+01,-4.3065e+02
8.9932e+01,-4.3155e+02
9.0113e+01,-4.3244e+02
9.0294e+01,-4.3334e+02
9.0474e+01,-4.3424e+02
9.0655e+01,-4.3513e+02
9.0836e+01,-4.3603e+02
9.1016e+01,-4.3692e+02
9.1197e+01,-4.3782e+02
9.1377e+01,-4.3871e+02
9.1558e+01,-4.3961e+02
9.1739e+01,-4.4050e+02
9.1919e+01,-4.4140e+02
9.2100e+01,-4.4230e+02
9.2281e+01,-4.4319e+02
9.2461e+01,-4.4409e+02
9.2642e+01,-4.4498e+02
9.2823e+01,-4.4588e+02
9.3003e+01,-4.4677e+02
9.3184e+01,-4.4767e+02
9.3365e+01,-4.4857e+02
9.3545e+01,-4.4946e+02
9.3726e+01,-4.5036e+02
9.3907e+01,-4.5125e+02
9.4087e+01,-4.5215e+02
9.4268e+01,-4.5304e+02
9.4449e+01,-4.5394e+02
9.4629e+01,-4.5483e+02
9.4810e+01,-4.5573e+02
9.4990e+01,-4.5663e+02
9.5171e+01,-4.5752e+02
9.5352e+01,-4.5842e+02
9.5532e+01,-4.5931e+02
9.5713e+01,-4.6021e+02
9.5894e+01,-4.6110e+02
9.6074e+01,-4.6200e+02
9.6255e+01,-4.6290e+02
9.6436e+01,-4.6379e+02
9.6616e+01,-4.6469e+02
9.6797e+01,-4.6558e+02
9.6978e+01,-4.6648e+02
9.7158e+01,-4.6737e+02
9.7339e+01,-4.6827e+02
9.7520e+01,-4.6916e+02
9.7700e+01,-4.7006e+02
9.7881e+01,-4.7096e+02
9.8062e+01,-4.7185e+02
9.8242e+01,-4.7275e+02
9.8423e+01,-4.7364e+02
9.8603e+01,-4.7454e+02
9.8784e+01,-4.7543e+02
9.8965e+01,-4.7633e+02
9.9145e+01,-4.7722e+02
9.9326e+01,-4.7812e+02
9.9507e+01,-4.7902e+02
9.9687e+01,-4.7991e+02
9.9868e+01,-4.8081e+02
1.0005e+02,-4.8170e+02
1.0023e+02,-4.8260e+02
1.0041e+02,-4.8349e+02
1.0059e+02,-4.8439e+02
1.0077e+02,-4.8529e+02
1.0095e+02,-4.8618e+02
1.0113e+02,-4.8708e+02
1.0131e+02,-4.8797e+02
1.0149e+02,-4.8887e+02
1.0167e+02,-4.8976e+02
1.0186e+02,-4.9066e+02
1.0204e+02,-4.9155e+02
1.0222e+02,-4.9245e+02
1.0240e+02,-4.9335e+02
1.0258e+02,-4.9424e+02
1.0276e+02,-4.9514e+02
1.0294e+02,-4.9603e+02
1.0312e+02,-4.9693e+02
1.0330e+02,-4.9782e+02
1.0348e+02,-4.9872e+02
1.0366e+02,-4.9961e+02
1.0384e+02,-5.0051e+02
1.0402e+02,-5.0141e+02
1.0420e+02,-5.0230e+02
1.0438e+02,-5.0320e+02
1.0456e+02,-5.0409e+02
1.0475e+02,-5.0499e+02
1.0493e+02,-5.0588e+02
1.0511e+02,-5.0678e+02
1.0529e+02,-5.0768e+02
1.0547e+02,-5.0857e+02
1.0565e+02,-5.0947e+02
1.0583e+02,-5.1036e+02
1.0601e+02,-5.1126e+02
1.0619e+02,-5.1215e+02
1.0637e+02,-5.1305e+02
1.0655e+02,-5.1394e+02
1.0673e+02,-5.1484e+02
1.0691e+02,-5.1574e+02
