# {tags[idx]},{tags[tidx]}
0.0000e+00,-4.8300e+02
4.4177e-02,-4.8185e+02
8.8353e-02,-4.8071e+02
1.3253e-01,-4.7957e+02
1.7671e-01,-4.7842e+02
2.2088e-01,-4.7728e+02
2.6506e-01,-4.7613e+02
3.0924e-01,-4.7499e+02
3.5341e-01,-4.7385e+02
3.9759e-01,-4.7270e+02
4.4177e-01,-4.7156e+02
4.8594e-01,-4.7042e+02
5.3012e-01,-4.6927e+02
5.7430e-01,-4.6813e+02
6.1847e-01,-4.6699e+02
6.6265e-01,-4.6584e+02
7.0683e-01,-4.6470e+02
7.5100e-01,-4.6356e+02
7.9518e-01,-4.6241e+02
8.3936e-01,-4.6127e+02
8.8353e-01,-4.6012e+02
9.2771e-01,-4.5898e+02
9.7189e-01,-4.5784e+02
1.0161e+00,-4.5669e+02
1.0602e+00,-4.5555e+02
1.1044e+00,-4.5441e+02
1.1486e+00,-4.5326e+02
1.1928e+00,-4.5212e+02
1.2369e+00,-4.5098e+02
1.2811e+00,-4.4983e+02
1.3253e+00,-4.4869e+02
1.3695e+00,-4.4754e+02
1.4137e+00,-4.4640e+02
1.4578e+00,-4.4526e+02
1.5020e+00,-4.4411e+02
1.5462e+00,-4.4297e+02
1.5904e+00,-4.4183e+02
1.6345e+00,-4.4068e+02
1.6787e+00,-4.3954e+02
1.7229e+00,-4.3840e+02
1.7671e+00,-4.3725e+02
1.8112e+00,-4.3611e+02
1.8554e+00,-4.3497e+02
1.8996e+00,-4.3382e+02
1.9438e+00,-4.3268e+02
1.9880e+00,-4.3153e+02
2.0321e+00,-4.3039e+02
2.0763e+00,-4.2925e+02
2.1205e+00,-4.2810e+02
2.1647e+00,-4.2696e+02
2.2088e+00,-4.2582e+02
2.2530e+00,-4.2467e+02
2.2972e+00,-4.2353e+02
2.3414e+00,-4.2239e+02
2.3855e+00,-4.2124e+02
2.4297e+00,-4.2010e+02
2.4739e+00,-4.1896e+02
2.5181e+00,-4.1781e+02
2.5622e+00,-4.1667e+02
2.6064e+00,-4.1552e+02
2.6506e+00,-4.1438e+02
2.6948e+00,-4.1324e+02
2.7390e+00,-4.1209e+02
2.7831e+00,-4.1095e+02
2.8273e+00,-4.0981e+02
2.8715e+00,-4.0866e+02
2.9157e+00,-4.0752e+02
2.9598e+00,-4.0638e+02
3.0040e+00,-4.0523e+02
3.0482e+00,-4.0409e+02
3.0924e+00,-4.0294e+02
3.1365e+00,-4.0180e+02
3.1807e+00,-4.0066e+02
3.2249e+00,-3.9951e+02
3.2691e+00,-3.9837e+02
3.3133e+00,-3.9723e+02
3.3574e+00,-3.9608e+02
3.4016e+00,-3.9494e+02
3.4458e+00,-3.9380e+02
3.4900e+00,-3.9265e+02
3.5341e+00,-3.9151e+02
3.5783e+00,-3.9037e+02
3.6225e+00,-3.8922e+02
3.6667e+00,-3.8808e+02
3.7108e+00,-3.8693e+02
3.7550e+00,-3.8579e+02
3.7992e+00,-3.8465e+02
3.8434e+00,-3.8350e+02
3.8876e+00,-3.8236e+02
3.9317e+00,-3.8122e+02
3.9759e+00,-3.8007e+02
4.0201e+00,-3.7893e+02
4.0643e+00,-3.7779e+02
4.1084e+00,-3.7664e+02
4.1526e+00,-3.7550e+02
4.1968e+00,-3.7436e+02
4.2410e+00,-3.7321e+02
4.2851e+00,-3.7207e+02
4.3293e+00,-3.7092e+02
4.3735e+00,-3.6978e+02
4.4177e+00,-3.6864e+02
