# {tags[idx]},{tags[tidx]}
2.6035e-01,-9.5494e+00
2.6110e-01,-9.4712e+00
2.6185e-01,-9.3930e+00
2.6260e-01,-9.3149e+00
2.6335e-01,-9.2367e+00
2.6410e-01,-9.1586e+00
2.6485e-01,-9.0804e+00
2.6561e-01,-9.0022e+00
2.6636e-01,-8.9241e+00
2.6711e-01,-8.8459e+00
2.6786e-01,-8.7678e+00
2.6861e-01,-8.6896e+00
2.6936e-01,-8.6114e+00
2.7012e-01,-8.5333e+00
2.7087e-01,-8.4551e+00
2.7162e-01,-8.3770e+00
2.7237e-01,-8.2988e+00
2.7312e-01,-8.2206e+00
2.7387e-01,-8.1425e+00
2.7462e-01,-8.0643e+00
2.7538e-01,-7.9862e+00
2.7613e-01,-7.9080e+00
2.7688e-01,-7.8298e+00
2.7763e-01,-7.7517e+00
2.7838e-01,-7.6735e+00
2.7913e-01,-7.5953e+00
2.7988e-01,-7.5172e+00
2.8064e-01,-7.4390e+00
2.8139e-01,-7.3609e+00
2.8214e-01,-7.2827e+00
2.8289e-01,-7.2045e+00
2.8364e-01,-7.1264e+00
2.8439e-01,-7.0482e+00
2.8515e-01,-6.9701e+00
2.8590e-01,-6.8919e+00
2.8665e-01,-6.8137e+00
2.8740e-01,-6.7356e+00
2.8815e-01,-6.6574e+00
2.8890e-01,-6.5793e+00
2.8965e-01,-6.5011e+00
2.9041e-01,-6.4229e+00
2.9116e-01,-6.3448e+00
2.9191e-01,-6.2666e+00
2.9266e-01,-6.1885e+00
2.9341e-01,-6.1103e+00
2.9416e-01,-6.0321e+00
2.9491e-01,-5.9540e+00
2.9567e-01,-5.8758e+00
2.9642e-01,-5.7976e+00
2.9717e-01,-5.7195e+00
2.9792e-01,-5.6413e+00
2.9867e-01,-5.5632e+00
2.9942e-01,-5.4850e+00
3.0018e-01,-5.4068e+00
3.0093e-01,-5.3287e+00
3.0168e-01,-5.2505e+00
3.0243e-01,-5.1724e+00
3.0318e-01,-5.0942e+00
3.0393e-01,-5.0160e+00
3.0468e-01,-4.9379e+00
3.0544e-01,-4.8597e+00
3.0619e-01,-4.7816e+00
3.0694e-01,-4.7034e+00
3.0769e-01,-4.6252e+00
3.0844e-01,-4.5471e+00
3.0919e-01,-4.4689e+00
3.0994e-01,-4.3908e+00
3.1070e-01,-4.3126e+00
3.1145e-01,-4.2344e+00
3.1220e-01,-4.1563e+00
3.1295e-01,-4.0781e+00
3.1370e-01,-3.9999e+00
3.1445e-01,-3.9218e+00
3.1521e-01,-3.8436e+00
3.1596e-01,-3.7655e+00
3.1671e-01,-3.6873e+00
3.1746e-01,-3.6091e+00
3.1821e-01,-3.5310e+00
3.1896e-01,-3.4528e+00
3.1971e-01,-3.3747e+00
3.2047e-01,-3.3745e+00
3.2122e-01,-3.4073e+00
3.2197e-01,-3.4400e+00
3.2272e-01,-3.4727e+00
3.2347e-01,-3.5054e+00
3.2422e-01,-3.5381e+00
3.2497e-01,-3.5708e+00
3.2573e-01,-3.6035e+00
3.2648e-01,-3.6362e+00
3.2723e-01,-3.6690e+00
3.2798e-01,-3.7017e+00
3.2873e-01,-3.7344e+00
3.2948e-01,-3.7671e+00
3.3024e-01,-3.7998e+00
3.3099e-01,-3.8325e+00
3.3174e-01,-3.8652e+00
3.3249e-01,-3.8979e+00
3.3324e-01,-3.9307e+00
3.3399e-01,-3.9634e+00
3.3474e-01,-3.9961e+00
3.3550e-01,-4.0288e+00
3.3625e-01,-4.0615e+00
3.3700e-01,-4.0942e+00
3.3775e-01,-4.1269e+00
3.3850e-01,-4.1596e+00
3.3925e-01,-4.1924e+00
3.4000e-01,-4.2251e+00
3.4076e-01,-4.2578e+00
3.4151e-01,-4.2905e+00
3.4226e-01,-4.3232e+00
3.4301e-01,-4.3559e+00
3.4376e-01,-4.3886e+00
3.4451e-01,-4.4213e+00
3.4527e-01,-4.4540e+00
3.4602e-01,-4.4868e+00
3.4677e-01,-4.5195e+00
3.4752e-01,-4.5522e+00
3.4827e-01,-4.5849e+00
3.4902e-01,-4.6176e+00
3.4977e-01,-4.6503e+00
3.5053e-01,-4.6830e+00
3.5128e-01,-4.7157e+00
3.5203e-01,-4.7485e+00
3.5278e-01,-4.7812e+00
3.5353e-01,-4.8139e+00
3.5428e-01,-4.8466e+00
3.5503e-01,-4.8793e+00
3.5579e-01,-4.9120e+00
3.5654e-01,-4.9447e+00
3.5729e-01,-4.9774e+00
3.5804e-01,-5.0102e+00
3.5879e-01,-5.0429e+00
3.5954e-01,-5.0756e+00
3.6030e-01,-5.1083e+00
3.6105e-01,-5.1410e+00
3.6180e-01,-5.1737e+00
3.6255e-01,-5.2064e+00
3.6330e-01,-5.2391e+00
3.6405e-01,-5.2719e+00
3.6480e-01,-5.3046e+00
3.6556e-01,-5.3373e+00
3.6631e-01,-5.3700e+00
3.6706e-01,-5.4027e+00
3.6781e-01,-5.4354e+00
3.6856e-01,-5.4681e+00
3.6931e-01,-5.5008e+00
3.7006e-01,-5.5335e+00
3.7082e-01,-5.5663e+00
3.7157e-01,-5.5990e+00
3.7232e-01,-5.6317e+00
3.7307e-01,-5.6644e+00
